Title,Sub-Title,YouTube Link,What it Does,Built With,By,Location,Project Link
Davv AI,,https://www.youtube.com/watch?v=6ONuSa48fb4,"Davv_AI is an AI-powered assistant designed to simplify tasks across various operating systems through intuitive voice and text interactions. It offers users, including those who are visually impaired, the ability to perform a wide range of tasks by simply speaking commands like ""open Google,"" ""search music on YouTube,"" or ""shutdown computer."" One of its standout features is the streaming record function, Once activated, you can start recording by simply saying ""Hi Google"", This feature allows users to record their sessions in real-time, providing immediate feedback and making interactions with the computer more accessible and manageable.
Davv_AI leverages the Gemini AI API to interpret natural language commands and convert them into executable Python code. The API processes the user's input, understanding the intent behind commands, and generates the corresponding code to execute the desired tasks. For more complex projects, such as developing a Snake game or a shopping website, Davv_AI uses the Gemini AI API to generate the necessary code and files, enabling users to focus on customization and refinement. The integration with the Gemini AI API is central to Davv_AI’s ability to seamlessly transform natural language into actionable code, enhancing productivity and accessibility for all users.","Web/Chrome, google speech recognition","Ali Debbache, abdou guerguer",Algeria,https://ai.google.dev/competition/projects/davv-ai
DDMD,,https://www.youtube.com/watch?v=BxzJcNyZNEw,"The DDMD project aims to provide an AI-powered solution for detecting digital drug music. The process begins with the collection of 3,176 non-copyrighted MP3 files, of which 1,676 are classified as digital drug music and 1,500 as not digital drug music.
These files are used to develop a Random Forest-based model that can classify audio files as either digital drug music or not. The model utilizes 34 features extracted from these audio files, covering both frequency and time-domain characteristics, and has achieved very encouraging results.
To make the results accessible and user-friendly, we developed a web application. This application leverages the trained Random Forest model to classify audio files through a simple and intuitive interface. The DDMD web application is built using Flask for the backend and HTML/CSS for the frontend. It utilizes the pre-trained Random Forest model to make predictions, accepting various audio file formats, converting non-MP3 files to MP3, and allowing input via a YouTube URL.
Additionally, to enhance classification accuracy, we are exploring ways to improve the DDMD application by fine-tuning the Gemini-1.5-flash model. We have proposed two approaches: first, we prepared a JSON dataset based on the Random Forest classifier results to fine-tune the Gemini-1.5-flash model. In the second approach, we are using the Gemini API and experimenting with different input formats, including CSV and JSON, to fine-tune this Gemini model.","Web/Chrome, Google Colab, Google Slides, Google Sppech-to-Text AI",,Algeria,https://ai.google.dev/competition/projects/ddmd
Elfelah,,https://www.youtube.com/watch?v=FCaPwgGfqe4,"Elfelah is an AI-powered farming app that supports farmers by providing real-time disease diagnosis, crop management strategies, and actionable insights. During a challenging season, Elfelah's AI advisor played a crucial role in diagnosing plant diseases that local advisors couldn't identify, helping to save valuable crops. The app also offers features like detailed land analysis (including pH and salinity), access to historical data, satellite NDVI data, and water management tools, empowering farmers to optimize their practices and increase yields.
The Gemini API integration enables Elfelah to enhance its AI capabilities by providing seamless access to external data and advanced machine learning models. This integration allows for more accurate disease diagnoses and optimized crop layouts, and it generates specific tasks for farm workers, making operations more efficient. By leveraging the Gemini API, Elfelah transforms the farming experience, offering comprehensive support and guidance to tackle challenges and improve agricultural outcomes.",Web/Chrome,Elfelah,Algeria,https://ai.google.dev/competition/projects/elfelah
FormBlueprint,,https://www.youtube.com/watch?v=xUN-rOcofdE,"FormBlueprint simplifies the creation and analysis of Google Forms with a Gemini-like conversational experience for businesses, educators, and researchers.

Start by describing your form or questions, and FormBlueprint will generate the corresponding form fields and sections, complete with validation and branching logic. All while interacting with an intuitive, Google Forms-like interface.

Once responses are collected, effortlessly analyze your data through conversation to gain intelligent insights and make data-driven decisions.

Simply put, FormBlueprint's mission is transforming how users create and analyze forms using AI.

--

Use case:

For example, you could tell FormBlueprint, ""Hey, I've started a new company, and my designer provided three logo options. Can you create a survey asking my audience which logo resonates most with them?"" and then continue to analyze the results, ""Hey, can you summarize the results and categorize the feedback into groups?"".

--

Usage of Gemini API:

The Gemini API provides form schemas using tailored system instructions to produce an intermediate representation. This representation is then converted and integrated via the Google Forms API.

Additionally, the Gemini API large context capability is leveraged to analyze form responses and produce insight representations in various formats (charts, KPIs, tables, observations, recommendations), which are then converted into interactive visuals for the end-user.","Web/Chrome, Google Drive, Google Auth","Mohamed Boudelaa, Amina Daoud",Algeria,https://ai.google.dev/competition/projects/formblueprint
GeoGemini,,https://www.youtube.com/watch?v=lfnIxOIv0T4,"GeoGemini is an innovative web application designed to analyze satellite imagery for environmental monitoring and climate change assessment. Leveraging the advanced capabilities of the Gemini API, GeoGemini enables users to upload satellite images or time-lapse videos, which the app processes to detect changes over time and analyze various environmental factors. Users can choose from a range of analysis types, such as vegetation health, deforestation, and air pollution, and the app generates detailed insights based on the selected parameters.
By integrating the Gemini API, GeoGemini offers a robust platform for comparing satellite images, identifying trends, and understanding the impact of natural and human activities on the environment. The app’s core functionality includes uploading imagery, selecting analysis types, and receiving AI-generated reports that highlight key changes and features within the images. The Gemini API's generative AI model flash is used to process and compare the uploaded imagery, providing high-level analysis for research, education, and sustainability efforts.","Web/Chrome, Firebase",Ahmane Oussama,Algeria,https://ai.google.dev/competition/projects/geogemini
InteractiveLearning,Interactive Learning the teacher AI,https://www.youtube.com/watch?v=uUh6DMrT2qU,"يقوم التطبيق بمساعدة الطلاب او اي شخص يحتاج ايصال اسئلتهم و افكارهم بطرق سهلة يتيح لك حرية الرسم مع بعض الادوات و يقوم با اخد لقط من شاشة لتطبيق لرسمتك او صورة قمت باتحميله و يرسلها مع سؤالك الى GEMIN API The application helps students or anyone who needs to communicate their questions and ideas in easy ways. It gives you the freedom to draw with some tools, and it takes a screenshot of an application of your drawing or an image that you have downloaded and sends it with your question to the GEMIN API.",python PyCharm,youcef benslimani,Algeria,https://ai.google.dev/competition/projects/interactivelearning
Khalili,We bring you new vision,https://www.youtube.com/watch?v=3S_ePl9TNQU,"Khalili is a mobile application designed to assist the blind and visually impaired. The app leverages the advanced capabilities of the Gemini API, along with a suite of features that help users accomplish their daily tasks. Users simply point their phone's camera at objects they wish to identify, and the app utilizes Gemini’s powerful image analysis to recognize and describe them.

In addition, the app features a text-to-speech function, enabling it to read aloud any text captured by the camera in a clear voice, making it easier for users to access written information in real-time.
The app also integrates with location analysis services, allowing users to navigate to their destinations safely and efficiently.

All these features are seamlessly integrated with voice commands, ensuring that the app is easy to use.","Android, most impact app, most useful app.","Boutheyna KIROUNI, Ilies OULD MENOUER",Algeria,https://ai.google.dev/competition/projects/khalili
Moadalaty,An application that calculates all GPAs for university students,https://www.youtube.com/watch?v=CuZq3STZ65s,"I used the Gemini API in an application to open the largest possible number of specializations and years for university students, so that I, as a developer, could add specializations in an easy and smooth way that did not take me much effort. Indeed, it was accepted and approved by my university, and they published and distributed it to university students, and it is available in Google Play platform",Android,AboNidal,Algeria,https://ai.google.dev/competition/projects/moadalaty
Nogap,,https://www.youtube.com/watch?v=qLjlrzsZblA,"Nogap helps you in your self learning journey by tracking and identifying the skills you lack to achieve your goal whether it's landing a job, following an idol, or to build your own business.

Main features:

- Identifying the gaps in your skills using Gemini from job descriptions, profiles or business goals
- Generating currated roadmaps based on your background using Gemini
- Tracking progress, and using Gemini, knowledge validation at each step through quizzes
- Adding bookmarks and generating notes from content using Gemini","Web/Chrome, Firebase",Kohort,Algeria,https://ai.google.dev/competition/projects/nogap
Nojoom.AI,,https://www.youtube.com/watch?v=OiS8FUCghNo,"Nojoom.AI is the first AI-powered Arabic search engine, using the Gemini 1.5 Pro API to revolutionize Arabic content interaction. It offers advanced search with deep language understanding, prioritizes reliable sources, and provides instant answers. Additionally, it generates unique Arabic content like summaries and articles. Nojoom.AI learns from user interactions to improve results over time. Powered by Gemini 1.5 Pro, it excels in understanding complex Arabic, generating relevant text, and translating between languages, making it more than just a search engine but a personal AI guide for Arabic users online.","Flutter, Android, Web/Chrome",Nojoom.AI,Algeria,https://ai.google.dev/competition/projects/nojoomai
smartchatbot,smartchatbot is a application for chatbot,https://www.youtube.com/watch?v=wSJDr8iZNcQ,"""Smartchatbot"" redefines communication with its advanced AI-driven chat capabilities. Whether the user need assistance, information, or entertainment.
""Smartchatbot"" as an advanced AI-driven chat application that utilizes the Gemini API for enhancing user interactions and delivering personalized experiences, while ensuring data security and privacy.",Android,techdigit-z,Algeria,https://ai.google.dev/competition/projects/smartchatbot
agro.ia,,https://www.youtube.com/watch?v=tFXvo8FdWwg,"Agro.IA is an innovative app that uses artificial intelligence to help farmers quickly and accurately identify crop diseases. Simply take a photo of the affected plant, and Agro.IA analyzes the image to detect potential diseases. The app then recommends the best pesticide for treatment and suggests nearby locations where the product can be purchased.

Agro.IA stands out for its integration with the Gemini API, which provides powerful computer vision and machine learning capabilities. We use the Gemini API to process and analyze the images submitted by users, applying trained models to identify patterns corresponding to various plant diseases. This allows Agro.IA to deliver fast and accurate diagnoses, improving farmers' efficiency and reducing crop losses. Additionally, the API enables continuous updates to the disease database, ensuring the app remains current with the latest agronomic information.

With Agro.IA, farmers can make informed decisions in real-time, preserving the health of their crops and boosting productivity.",Flutter,agro.ia,Angola,https://ai.google.dev/competition/projects/agroia
Tchissola,Quiz build app power by Gemini AI,https://www.youtube.com/watch?v=yf9qts4t1FY,Tchissola is a quiz game app that leverages the power of artificial intelligence to let you design and play your very own customized quiz challenges. You just need the title and Tchissola will do the rest. Share your quiz with friends and family.,"Flutter, Firebase",Gabriel Vieira,Angola,https://ai.google.dev/competition/projects/tchissola
The Riddle Of Wisdom,,https://www.youtube.com/watch?v=wsJ38gTs89k,"The Riddke Of Wisdom is an engaging word game designed to challenge and entertain players by having them complete partially masked words. The game display a word with only the first and last letters visible, and players must fill in the missing letters to solve the riddle. To enhance the game's vocaublary and ensure a rich, diverse experience, the app leveraged the power of Gemini API. By using Gemini API, the app generated a curated array of words across various categories, enriching our game with a vast and creative selection of terms. The API's ability to produce relevant and high-vocabulary allowed me to create a dynamic and engagin game environment.
This is integration not only saved time but also ensured that the word list is continually updated an varied, providing players with an enjoyable and challenging experience every time they play.","Web/Chrome, Agular",NerdBug,Angola,https://ai.google.dev/competition/projects/the-riddle-of-wisdom
Abuelo GPT,,https://www.youtube.com/watch?v=BtuT80a_33s,"Contiene un simple botón para hablar. Lo que hace es convertir la voz en texto y mandárselo a la api de gemini, luego de que la api de gemini responda, convierte ese texto en voz.",Android,José Travacio,Argentina,https://ai.google.dev/competition/projects/abuelo-gpt
Chess Commander,,https://www.youtube.com/watch?v=egjmNUpfEQw,"Our app is an interactive game that uses AI-powered characters to teach communication skills through gameplay. Players engage with AI characters, each with unique personalities and challenges, and learn to persuade and influence them to take specific actions. As players progress through the game, they develop key communication skills such as adjusting their tone of voice, adding variety to their speech, building rapport, and practicing active listening.
We used Gemini API to analyze attributes in player's voice and we plan to add support for facial expressions and body language. We use Gemini's structured output to generate the character response and in-game decisions.","Flutter, Web/Chrome",HypeCat AI,Argentina,https://ai.google.dev/competition/projects/chess-commander
Game Master AI,Play AI-driven RPG stories.,https://www.youtube.com/watch?v=Vzwfl-osiXE,"GmAi is your personal AI Game Master, powered by Google's Gemini Pro model! This app lets you experience thrilling RPG adventures where YOU are the hero. Craft unique characters, explore fantastical worlds, and make critical decisions that shape the narrative.

Gemini fuels GmAi's ability to:
- Understand your intent: Interpret your actions and choices to craft a dynamic storyline.
- Generate creative content: Describe vibrant scenes, unique characters, and captivating plot twists.
- Engage in natural dialogue: Enjoy a seamless and immersive roleplaying experience.

GmAi breathes life into your imagination!","Web/Chrome, Firebase",AlfonsoM0 | Web Developer,Argentina,https://ai.google.dev/competition/projects/game-master-ai
Gemi Slice | Gemini Snippet on Search ✨,,https://www.youtube.com/watch?v=XVpmZRqu7Xw,"My application has a simple objective: it’s an extension that activates upon detecting the URL www.google.com/search and generates code snippets in the desired language based on what the user searches for related to programming. It allows users to listen to the explanation of the code snippet, regenerate the response, and copy the snippet. Soon, it will include additional functions like voting or reusing previously generated code snippets, and I plan for the model to self-feed with user-created responses.

The usage is straightforward and based on four calls to Gemini:

* Code Snippet: Generates snippets based on what the user searches for, using a dataset from Google Research and code snippets.
* Explanation: Provides a 200-character explanation based on the code snippet and Google Research.
* Language: Detects the programming language used in the code snippet to improve the user interface.
* Programming-related Topic: Returns a 204 endpoint or 200 OK with ""Yes"" to determine if the code snippet should be generated.","Web/Chrome, Google Chrome Extension",Snapverse,Argentina,https://ai.google.dev/competition/projects/gemi-slice-gemini-snippet-on-search
Gemini AI Book Capture,Digitize your library in seconds with the magic of AI.,https://www.youtube.com/watch?v=LtLdb8F1eIY,"Gemini AI Book Capture revolutionizes library management for everyone from avid readers to professional librarians. Simply snap a photo of a book cover and our app, powered by Gemini's cutting-edge AI, instantly extracts key information like title, author, publisher, and ISBN.
Users can then edit and complete the data, adding personal notes or tags. The app stores this information in a searchable digital catalog, accessible anytime, anywhere. Need to share or use the data elsewhere? Export your entire library as a CSV file with a single tap.",Android,miiweb,Argentina,https://ai.google.dev/competition/projects/gemini-ai-book-capture
GeminiSH,,https://www.youtube.com/watch?v=tSNp36ZvjlQ,"GeminiSH is your personalized AI assistant powered by Google Gemini. Chat, execute commands, and automate tasks using natural language. Upload files for analysis, generate content, and control your computer with ease. Gemini's advanced AI understands your intent, providing a seamless and intuitive experience.",,,Argentina,https://ai.google.dev/competition/projects/geminish
IADA,,https://www.youtube.com/watch?v=ao2sQWRn70A,This study proposes a system that uses Gemini to facilitate access to legislative information,Web/Chrome,Bartolomeo Gonzalez,Argentina,https://ai.google.dev/competition/projects/iada
Kind Konnect,,https://www.youtube.com/watch?v=YYhn-g4sVEg,"Kind Konnect is an app designed to connect people with local help opportunities, fostering community engagement and solidarity. Users can create and join assistance events, access group chats for coordination, and view user profiles to find the right fit for their needs or interests. Our app uses an integrated AI feature, powered by the Gemini API, to recommend relevant help opportunities based on user preferences and location data. The Gemini API enhances user experience by providing real-time suggestions and insights, making it easier for users to find and participate in meaningful community activities.","Flutter, Firebase",Pablo Salamendi,Argentina,https://ai.google.dev/competition/projects/kind-konnect
Lorean,,https://www.youtube.com/watch?v=xJOoabWCZj4,"To collaborate in the development of children with diagnosed disorders, using a tool with Artificial Intelligence that allows accompanying each one individually, adapting content and exams automatically.","Flutter, Firebase",Lorean Team,Argentina,https://ai.google.dev/competition/projects/lorean
Luminaria,,https://www.youtube.com/watch?v=Z823SOURFkQ,"Luminaria is a cutting-edge reading comprehension app that leverages generative AI to empower learners to craft their own creative stories while building essential reading skills.
By leveraging the Gemini API, the app dynamically generates immersive stories based on the user's input and tailors reading comprehension activities to each player’s unique learning profile This ensures that every kid receives personalized feedback and support throughout their learning journey.

Backed by a team with over 20 years of experience in reading comprehension research (Harvard, UBA, Tufts), Luminaria is rooted in science. Previous versions of the tool have demonstrated measurable impact, showcasing its effectiveness in enhancing reading skills.
A randomized controlled trial (RCT) demonstrated that Luminaria improves reading proficiency by over 20% compared to no intervention.

Designed with neurodiversity in mind, Luminaria offers oral support, scaffolding, and adaptive exercises to assist children with dyslexia, autism, and ADHD. The app's gamified nature makes learning attractive and immersive, providing an engaging environment where all children can thrive.","Flutter, Firebase",Wumbox,Argentina,https://ai.google.dev/competition/projects/luminaria
PrepAI,,https://www.youtube.com/watch?v=c81zMF8rmEQ,"PrepAI aims to help users to practice, get more confident and be ready for their next job interview. By using Gemini API, PrepAI creates the interviews and exams content (questions, options, hints, etc...). And also with the AI it provides a feedback and ways to improve after receiving user answers.",Web/Chrome,Juan Ignacio Llaberia,Argentina,https://ai.google.dev/competition/projects/prepai
Severus,,https://www.youtube.com/watch?v=IV7eu0xlR6o,"Descripción del Proyecto
Severus es un asistente que permite, con una orden, ejecutar comandos y automatizar la PC. El proyecto está realizado para escritorio con Tauri.
El proyecto cuenta con dos modos: el modo de preguntas y el de asistente. Para cambiar entre uno y otro, hay que hacerlo con el comando de voz. Por ejemplo, le damos click al núcleo, decimos ""asistente"" o ""preguntas"", y observamos el cambio de color entre uno y otro modo.
Actualmente, para usar los comandos por voz, hay que otorgarle permiso para usar el micrófono. Una vez concedido el permiso, haciendo clic en el núcleo del asistente se activa el micrófono y empieza a escuchar la orden. Cuando se termina la petición, hay que darle clic nuevamente para que se ejecute. cuando se usa el comando de voz la forma que se puso por el momento de interacion son ventanas del sistema
Las respuestas del asistente se realizan ejecutando acciones en el sistema operativo huésped, como crear carpetas, abrir programas, crear proyectos para desarrollo, abrir el explorador, o cualquier otra petición que se pueda hacer por línea de comandos. Se pensó en realizar acciones más complejas, pero no se alcanzó el tiempo de desarrollo.
Se podria integrar la Cli de firebase y hacer un asistente que permita fasilidad en la configuracion de los diferentes productos de firebase o usando la Cli de google Cloud.
o cualquier producto que cuente con Cli.","Web/Chrome, No pude usar la API Convierte voz en texto con la IA de Google",Sector-7G-Animas,Argentina,https://ai.google.dev/competition/projects/severus
A10fy,,https://www.youtube.com/watch?v=9L8HOfUlde4,"This A[ccessibili]fy a.k.a. A10fy extension makes Gemini models more accessible to the users of Chromium browsers by providing:
- Chat with Gemini Flash and Pro models with support of on-the-fly changing system instructions and Gemini models,
- Unified access to the models and free/paid services within one extension,
- “Code players” allowing to run code blocks within the chat messages, enriching the chat experience,
- Custom actions allowing to process parts of the active page using LLM with custom system prompts,
- Accessing LLM-based AI assistant using voice and text commands for simple actions on the current page,
- Saving pages for later accessing them using embeddings-based fuzzy search.

The Chat (with wider range of available python libraries to use in the chat Python code players and less restrictive custom players) is also available on the web at https://a10fy.net, while AI assistant and page snapshot taking/fuzzy search is only available in the chromium extension: https://chromewebstore.google.com/detail/mphepoohgbafpfijnlkkcbejlkmafmba",Web/Chrome,Alex Dainiak,Armenia,https://ai.google.dev/competition/projects/a10fy
